indicator_id,indicator_name,category
4_1_philippines,Philippines,4_1
4_1_thailand,Thailand,4_1
4_1_indonesia,Indonesia,4_1
4_1_fiji,Fiji,4_1
4_1_malaysia,Malaysia,4_1
4_1_all_other_countries2,All other countries2,4_1
4_1_total3,Total3,4_1
4_2_removals_from_onshore_immigration_detention,Removals from onshore immigration detention,4_2
4_2_returns_from_the_community1,Returns from the community1,4_2
4_2_total2,Total2,4_2
4_3_visitor,Visitor,4_3
4_3_student,Student,4_3
4_3_temporary_resident,Temporary Resident,4_3
4_3_working_holiday,Working Holiday,4_3
4_3_all_other_categories,All other categories,4_3
4_3_total1,Total1,4_3
4_4_india,India,4_4
4_4_peoples_republic_of_china2,People's Republic of China2,4_4
4_4_malaysia,Malaysia,4_4
4_4_new_zealand,New Zealand,4_4
4_4_indonesia,Indonesia,4_4
4_4_united_kingdom,United Kingdom,4_4
4_4_vietnam,Vietnam,4_4
4_4_colombia,Colombia,4_4
4_4_philippines,Philippines,4_4
4_4_fiji,Fiji,4_4
4_4_all_other_countries3,All other countries3,4_4
4_4_total4,Total4,4_4
